created_at,number,polarity,subjectivity
2018-10-19,7,0.008658008658008651,0.1475108225108225
2018-10-18,15,0.10223665223665225,0.2975468975468975
2018-10-17,11,0.11861799816345271,0.24067952249770433
2018-10-16,14,0.16002886002886002,0.3350829725829726
2018-10-15,16,0.06328124999999998,0.3497159090909091
2018-10-14,2,0.049999999999999996,0.175
2018-10-12,15,0.06392424242424241,0.43213636363636365
2018-10-11,21,0.12914261664261664,0.3846741221741222
2018-10-10,23,0.03507469885187275,0.5091163184641446
2018-10-09,8,0.023295454545454543,0.19744318181818182
2018-10-08,8,0.08474225427350426,0.3647168803418803
2018-10-06,1,0.0,0.0
2018-10-05,11,0.07892561983471072,0.4827823691460056
2018-10-04,8,0.05248842592592593,0.295775462962963
2018-10-03,8,0.06315205627705629,0.5116923701298701
2018-10-02,9,0.0773905723905724,0.36932659932659934
2018-10-01,8,0.06458333333333334,0.19166666666666665
2018-09-30,1,0.11212121212121212,0.4181818181818182
2018-09-29,2,-0.1,0.6
2018-09-28,19,0.04978070175438596,0.29619883040935674
2018-09-27,13,0.0775,0.5891025641025641
2018-09-26,26,0.06009615384615385,0.2774038461538461
2018-09-25,10,0.1716666666666667,0.36833333333333335
2018-09-24,10,0.023611111111111117,0.29888888888888887
2018-09-23,1,0.0,0.0
2018-09-22,5,0.2425,0.3983333333333333
2018-09-21,8,0.10914351851851853,0.3141203703703704
2018-09-20,17,0.1499197860962567,0.33411170528817585
2018-09-19,13,0.030269730269730268,0.39366466866466865
2018-09-18,8,0.0057607323232323135,0.4592487373737374
2018-09-17,12,0.1375621292287959,0.330770001603335
2018-09-16,1,0.23409090909090907,0.36363636363636365
2018-09-14,13,0.10735653235653236,0.35006105006105004
2018-09-13,12,0.01831018518518518,0.3779629629629629
2018-09-12,20,0.10419444444444445,0.29913888888888884
2018-09-11,2,0.0,0.0
2018-09-10,3,0.0,0.0
2018-09-09,4,0.2,0.26666666666666666
2018-09-07,19,0.09713583200425305,0.30663211057947903
2018-09-06,13,0.05304695304695303,0.20855394605394606
2018-09-05,5,0.009629629629629622,0.305925925925926
2018-09-04,8,0.06600378787878788,0.18020833333333336
2018-08-31,11,0.13977272727272727,0.17121212121212123
2018-08-30,17,0.07790106951871657,0.3340819964349376
2018-08-29,6,0.1105429292929293,0.25867003367003366
2018-08-28,8,-0.051704545454545434,0.42660984848484845
2018-08-27,12,0.15138888888888888,0.32916666666666666
2018-08-26,13,0.0797202797202797,0.20355477855477855
2018-08-25,2,0.125,0.175
2018-08-24,15,0.09427777777777777,0.2882222222222222
2018-08-23,12,0.009521604938271604,0.21015432098765433
2018-08-22,8,0.1274621212121212,0.3859848484848485
2018-08-21,20,0.021260101010101007,0.3494595959595959
2018-08-20,8,0.03695075757575758,0.5265151515151515
2018-08-17,8,0.09919823232323233,0.2597979797979798
2018-08-16,15,0.1323737373737374,0.3436161616161616
2018-08-15,8,0.09621212121212121,0.35265151515151516
2018-08-14,8,0.09188582251082253,0.3483942099567099
2018-08-13,10,0.12694444444444444,0.2426388888888889
2018-08-11,1,0.0,0.0
